题目类型,题目内容,选项A,选项B,选项C,选项D,选项E,正确答案,分值,难度,竞赛来源,标签/分类,解析
单选,学校组织到未来农场参观，小明听讲解员介绍，在智能温室中，湿度传感器可以连续检测土壤的湿度变化，并将检测到的湿度数据实时发送给中央控制器。中央控制器根据这些数据判断是否开启灌溉系统。请问，这里的湿度传感器所发挥的作用，类似于计算机系统中的哪一类组件？（ ）,处理器,存储器,输入设备,输出设备,,C,2,简单,GESP-2026.06,一级 计算机组成,湿度传感器采集环境数据发送给控制器，作用类似计算机的输入设备
单选,在使用某集成开发环境（比如 Dev-C++）来编辑源代码文件时，程序员经常需要在编辑区中对代码进行各种修改。以下关于在编辑区中执行的操作描述不正确的（ ）。,可以将变量名 count 统一修改为 number,可以连续撤销最近 2 次输入的内容,可以调整代码行的缩进（如按 Tab 键）,在注释文本中间不能混用中英文,,D,2,简单,GESP-2026.06,一级 集成开发环境,注释中可以混用中英文，注释内容不参与编译，D描述不正确
单选,"有关如下 C++ 代码的说法，正确的是（ ）。
float a = 3 + 3.5;
cout &lt;&lt; a;",代码执行将报错。如果将 a = 3 + 3.5 改为 a = 3 + 3 + 1/2 将能正常执行。,代码执行将报错。如果将 a = 3 + 3.5 改为 a = 3.0 + 3.5 将能正常执行。,代码能正常执行，将输出 6。,代码能正常执行，将输出 6.5。,,D,2,简单,GESP-2026.06,一级 C++ 数据类型,int与double运算会提升为double，a=6.5，输出6.5
单选,下列 C++ 表达式与 -2 * 2 % 4 的值不同的是（ ）。,-(2 * 2) % 4,(-2 * 2) % 4,-2 * (2 % 4),(2 * 2) % -4,,C,2,简单,GESP-2026.06,一级 C++ 运算符,-2*2%4即(-2*2)%4=0，A、B、D的值均为0，C为-2*2=-4与其他不同
单选,"执行如下 C++ 代码片段，其输出是（ ）。
int a = 3;
int b = a;
a = 4;
printf(""%d %d"", a, b);",3 3,4 3,4 4,3 4,,B,2,简单,GESP-2026.06,一级 C++ 变量赋值,b先取得a的旧值3，随后a改为4，输出4 3
单选,"如下 C++ 代码执行时输入 2026-6-27，下列说法正确的是（ ）。
int N;
cin &gt;&gt; N;
cout &lt;&lt; N;",输入失败，不允许输入减号，没有输出,允许输入，输出 1993,允许输入并原样输出 2026-6-27,允许输入并输出 2026,,D,2,中等,GESP-2026.06,一级 cin 输入,cin读取整数遇到非数字字符停止，N=2026，输出2026
单选,"如下 C++ 代码执行时，其说法错误的是（ ）。
int N, M;
cin &gt;&gt; N &gt;&gt; M;
if (N &gt; M)
    cout &lt;&lt; ""A "" &lt;&lt; (N - M);
else
    cout &lt;&lt; ""B "" &lt;&lt; (M - N);",如果输入 4 3，将输出 A 1,如果输入 3 4，将输出 B 1,如果输入 3 3，将输出 A 0,如果输入 4 4，将输出 B 0,,C,2,简单,GESP-2026.06,一级 分支结构,输入3 3时N&gt;M为假走else输出B 0，C说法错误
单选,"阅读如下 C++ 代码，下列说法错误的是（ ）。
int cnt = 0;
for (int i = 0; i &lt; 5; i++)
    cnt += 1;
cout &lt;&lt; cnt;",将 cnt += 1 修改为 cnt = cnt + 1，执行效果相同,将 cnt += 1 修改为 cnt = 1 + cnt，执行效果相同,将 cnt += 1 修改为 cnt =+ 1，执行效果相同,将 cnt += 1 修改为 cnt = + 1 + cnt，执行效果相同,,C,2,中等,GESP-2026.06,一级 复合赋值运算符,cnt =+ 1会被解析为cnt = +1，每次赋值为1而非累加，效果不同
单选,"如下 C++ 代码执行后输出是 1 2 3 4 5 6 7 8 9 10 11 5 6 7 8 9 10 11 5 6 7 8 9 10 11 5 6 7 8 9 10 11 5 6 7 8 9 10 11 5 6 7。横线处应该先后依次填入的运算符是（ ）。
int num = 1;
for (int i = 0; i &lt; 35; i++) {
    printf(""%d "", num);
    if (num _______ 10)
        num _______ 2;
    else
        num _______ 1;
}",&gt; /= +=,&gt;= %= +=,&gt; %= +=,&gt; /= =+,,A,2,中等,GESP-2026.06,一级 循环结构 运算符,num&gt;10时num/=2（11/2=5），否则num+=1：先输出1~11，之后每轮5~11，最后5 6 7，与题面输出一致
单选,"如下 C++ 代码可以执行，其输出是（ ）。
int i;
for (i = 1; i &lt; 5; i++)
    if (i % 2 == 0) {
        continue;
        cout &lt;&lt; i &lt;&lt; ""#"";
    }
cout &lt;&lt; i &lt;&lt; ""END#"";",5END#,5#END,1#3#4#END,1#3#4 END#,,A,2,中等,GESP-2026.06,一级 循环 continue,continue之后的cout永远不会执行，循环结束时i=5，输出5END#
单选,"如下 C++ 代码执行时，下列说法正确的是（ ）。
int N, i;
cin &gt;&gt; N;
for (i = 2; i &lt; N; i++)
    if (N % i == 0) {
        cout &lt;&lt; ""1#"";
        break;
    } else
        cout &lt;&lt; ""0#"";",如果输入 2，将输出 1#。,如果输入 15，将输出 0#1#。,如果输入 1，将输出 0#。,如果输入 3，将输出 1#。,,B,2,中等,GESP-2026.06,一级 循环 break,输入15时i=2输出0#，i=3时整除输出1#并break，即0#1#
单选,"有关如下 C++ 代码，下列说法中错误的是（ ）。
int i, tot;
i = 0, tot = 0;
while (0 &lt;= i && i &lt; 10) {
    tot += 1;
    i += 1;
}
cout &lt;&lt; tot;",如果调整 0 &lt;= i && i &lt; 10 为 1 &lt;= i && i &lt; 10，输出同样为 45，因为加上 0 不影响结果。,如果将 i = 0 和 tot = 0 合并为 i = tot = 0，执行结果与修改前相同。,将 tot += 1 与 i += 1 交换顺序，执行结果与修改前相同。,将 i = 0 与 tot = 0 交换顺序，执行结果与修改前相同。,,A,2,中等,GESP-2026.06,一级 循环结构 while,代码输出tot=10；改为1&lt;=i后输出9，既不是45也不相同，A说法错误
单选,"以下 C++ 代码可以找出千位、百位、十位和个位满足特定条件的四位数（例如各位数字的四次方和等于原数，即""四叶玫瑰数""），横线处应该填入的是（ ）。
int count = 0;
for (int n = 1000; n &lt;= 9999; n++) {
    int a = n / 1000;
    int b = (n / 100) % 10;
    _________________________    // L1
    int d = n % 10;
    if (a * a * a * a + b * b * b * b + c * c * c * c + d * d * d * d == n) { // 特定条件
        count++;
    }
}",int c = (n / 10) / 10;,int c = (n / 10) % 10;,int c = (n % 10) / 10;,int c = (n % 10) % 10;,,B,2,简单,GESP-2026.06,一级 数位处理,十位数字为(n/10)%10，如n=1234时1234/10=123，123%10=3即十位
单选,"下面的 C++ 代码用于计算经过 n 秒后的秒针位置（0 ~ 59），两处横线处分别应填入的代码是（ ）。
int start, n, pos;
cout &lt;&lt; ""当前秒数（0-59）: "";
cin &gt;&gt; start;
cout &lt;&lt; ""经过多少秒: "";
cin &gt;&gt; n;
pos = ____________;  // L1
if (____________)    // L2
    cout &lt;&lt; n &lt;&lt; ""秒后回到12点方向"" &lt;&lt; endl;
else
    cout &lt;&lt; n &lt;&lt; ""秒后指向"" &lt;&lt; pos &lt;&lt; ""秒刻度"" &lt;&lt; endl;",(start + n) / 60 和 pos == 0,(start + n) % 60 和 pos == 0,(start + n) / 60 和 pos &lt;= 0,(start + n) % 60 和 pos = 0,,B,2,简单,GESP-2026.06,一级 取模运算,秒针60秒转一圈，位置为(start+n)%60；pos==0表示回到12点方向；D项pos=0是赋值不是判断
单选,"如果正整数 N 只能被 1 和它本身整除，则它是一个质数（或素数）。下面的 C++ 代码用于判断正整数 N 是否为质数（素数）。若 N 是质数，输出 YES，否则输出 NO。横线处不应填入的代码是（ ）。
int N, i;
cin &gt;&gt; N;
if (N &lt;= 1) {
    cout &lt;&lt; ""NO"";
    return 0;
}
for (i = 2; ______; i++) {
    if (N % i == 0) {
        cout &lt;&lt; ""NO"";
        return 0;
    }
}
cout &lt;&lt; ""YES"";",i &lt; N,i &lt;= N,i &lt;= N / 2,i * i &lt;= N,,B,2,中等,GESP-2026.06,一级 质数判断 循环,填i&lt;=N时循环会到i=N，N%N==0必然成立，质数也会输出NO，故不应填入
判断,又到期末考试周，小明发现这次许多闭卷考试不仅禁止携带手机、平板电脑，还有最近比较时髦的各类 AI 眼镜（也有叫智能眼镜）也同样不允许带入考场。这些 AI 眼镜应该也是内置了操作系统并可能支持 Wi-Fi 或蓝牙连接。,正确,错误,,,,A,2,简单,GESP-2026.06,一级 人工智能 常识,AI眼镜是智能穿戴设备，内置操作系统并支持Wi-Fi或蓝牙等无线连接
判断,如果 n 为大于 100 的整数，则 C++ 表达式 (n / 10) % 10 与 (n % 100) / 10 的结果相同。,正确,错误,,,,A,2,简单,GESP-2026.06,一级 数位运算,两个表达式都取出n的十位数字，结果相同
判断,"下面 C++ 代码执行后将输出 19。
int i;
for (i = 0; i &lt; 20; i += 3)
    if (i % 3 != 0)
        break;
cout &lt;&lt; i;",正确,错误,,,,B,2,中等,GESP-2026.06,一级 循环结构,i依次取0、3、6…18均能被3整除不会break，循环结束时i=21，输出21而非19
判断,"在数学中，N! 称之为 N 的阶乘，其含义是 1 到 N 之积，包括 N。如 3! = 1 × 2 × 3 = 6。如下 C++ 代码能输出 N! 的结果。
int N;
cout &lt;&lt; ""请输入正整数："";
cin &gt;&gt; N;
int rst = 0;
for (int i = 1; i &lt; N + 1; i++)
    rst *= i;
cout &lt;&lt; rst;",正确,错误,,,,B,2,中等,GESP-2026.06,一级 循环 阶乘,rst初始值为0，0乘任何数仍为0，应初始化为1才能得到N!的结果
